@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://kr.battle.net/sc2/en/profile/2343479/1/,http://us.battle.net/sc2/en/profile/3985949/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://eu.battle.net/sc2/en/profile/2101268/1/,http://kr.battle.net/sc2/en/profile/2344207/1/,http://eu.battle.net/sc2/en/profile/4064798/1/,http://kr.battle.net/sc2/en/profile/2343263/1/,http://kr.battle.net/sc2/en/profile/2333068/1/,http://kr.battle.net/sc2/en/profile/2343882/1/,http://us.battle.net/sc2/en/profile/4167590/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://eu.battle.net/sc2/en/profile/251061/1/,http://eu.battle.net/sc2/en/profile/4234852/1/,http://us.battle.net/sc2/en/profile/4417787/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://kr.battle.net/sc2/en/profile/2332264/1/,http://eu.battle.net/sc2/en/profile/884897/1/,http://kr.battle.net/sc2/en/profile/2343607/1/,http://kr.battle.net/sc2/en/profile/2342794/1/,http://kr.battle.net/sc2/en/profile/2343484/1/,http://eu.battle.net/sc2/en/profile/788178/1/,http://kr.battle.net/sc2/en/profile/2343240/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://us.battle.net/sc2/en/profile/3301677/1/,http://kr.battle.net/sc2/en/profile/2341700/1/,http://eu.battle.net/sc2/en/profile/2222468/1/,http://eu.battle.net/sc2/en/profile/3010872/1/,http://kr.battle.net/sc2/en/profile/2344230/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://kr.battle.net/sc2/en/profile/2344333/1/,http://kr.battle.net/sc2/en/profile/2343012/1/,http://eu.battle.net/sc2/en/profile/1143713/1/,http://us.battle.net/sc2/en/profile/3426440/1/,http://kr.battle.net/sc2/en/profile/2342766/1/,http://kr.battle.net/sc2/en/profile/2342147/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/2341492/1/,http://us.battle.net/sc2/en/profile/3202227/1/,http://kr.battle.net/sc2/en/profile/2344987/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://kr.battle.net/sc2/en/profile/2342269/1/,http://kr.battle.net/sc2/en/profile/1106851/2/,http://eu.battle.net/sc2/en/profile/377576/1/,http://eu.battle.net/sc2/en/profile/3401218/1/,http://eu.battle.net/sc2/en/profile/2452136/1/,http://eu.battle.net/sc2/en/profile/3368730/1/,http://kr.battle.net/sc2/en/profile/2334376/1/,http://eu.battle.net/sc2/en/profile/250458/1/,http://kr.battle.net/sc2/en/profile/2344476/1/,http://us.battle.net/sc2/en/profile/902213/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://eu.battle.net/sc2/en/profile/1058669/1/,http://kr.battle.net/sc2/en/profile/2342343/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey72 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey31 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,1021.0,1.0,4.0,326.0,17.0,3.0,12.0,725.0,2.0,5.0,796.0,29.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,189.574468085
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2334376/1/,517.0,3.0,7.0,727.0,416.0,20.0,49.0,329.0,125.0,1.0,36.0,18.0,1.0,46.0,2.0,457.0,1.0,53.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.808306709
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,1362.0,3.0,5.0,714.0,21.0,2.0,11.0,1093.0,0.0,5.0,843.0,24.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,214.857142857
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,655.0,3.0,7.0,851.0,500.0,25.0,63.0,437.0,229.0,1.0,55.0,18.0,1.0,34.0,2.0,437.0,1.0,42.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.653979239
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,297.0,0.0,1.0,0.0,0.0,9.0,19.0,162.0,14.0,2.0,208.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.074074074
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,213.0,0.0,4.0,189.0,0.0,4.0,32.0,59.0,22.0,0.0,0.0,3.0,0.0,0.0,1.0,260.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.661538462
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,400.0,8.0,4.0,232.0,100.0,4.0,27.0,561.0,485.0,2.0,43.0,30.0,2.0,2.0,5.0,55.0,3.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.065246338
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,474.0,4.0,8.0,290.0,116.0,9.0,15.0,579.0,553.0,3.0,103.0,34.0,3.0,9.0,6.0,60.0,2.0,16.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.517482517
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,718.0,5.0,8.0,1087.0,585.0,42.0,53.0,590.0,343.0,10.0,196.0,20.0,1.0,33.0,2.0,506.0,1.0,74.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.03722262
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2334376/1/,832.0,4.0,9.0,1329.0,793.0,44.0,65.0,579.0,438.0,11.0,289.0,37.0,1.0,21.0,4.0,552.0,1.0,73.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.414620217
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,541.0,0.0,1.0,0.0,0.0,4.0,30.0,649.0,64.0,2.0,645.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,208.571428571
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,673.0,0.0,5.0,136.0,0.0,1.0,17.0,715.0,1.0,3.0,771.0,14.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,193.543091655
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,933.0,0.0,2.0,55.0,0.0,3.0,34.0,896.0,25.0,4.0,953.0,29.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,184.037267081
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2344476/1/,765.0,3.0,12.0,92.0,11.0,2.0,11.0,681.0,0.0,2.0,789.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,169.033018868
race:Terran,status:Win,http://us.battle.net/sc2/en/profile/3985949/1/,1062.0,5.0,3.0,425.0,281.0,27.0,45.0,712.0,763.0,3.0,181.0,65.0,3.0,12.0,5.0,182.0,4.0,104.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.192307692
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2344476/1/,1110.0,0.0,2.0,201.0,0.0,3.0,22.0,958.0,26.0,5.0,993.0,27.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,180.963425513
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,751.0,3.0,4.0,288.0,289.0,13.0,63.0,360.0,77.0,2.0,234.0,29.0,2.0,8.0,1.0,80.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0593555681
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2341700/1/,873.0,3.0,5.0,251.0,303.0,20.0,68.0,358.0,52.0,2.0,178.0,25.0,2.0,10.0,1.0,142.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,70.881147541
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,231.0,2.0,2.0,118.0,203.0,2.0,20.0,116.0,1.0,1.0,23.0,14.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9806763285
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,524.0,0.0,3.0,23.0,0.0,8.0,36.0,435.0,148.0,1.0,272.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.289719626
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,2524.0,4.0,4.0,79.0,207.0,19.0,61.0,844.0,506.0,1.0,804.0,15.0,1.0,0.0,9.0,927.0,1.0,45.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,115.822306238
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,752.0,0.0,1.0,0.0,0.0,7.0,14.0,422.0,190.0,1.0,428.0,8.0,0.0,0.0,1.0,403.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,191.491108071
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,729.0,4.0,4.0,67.0,152.0,1.0,12.0,145.0,0.0,1.0,474.0,7.0,1.0,0.0,3.0,404.0,1.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,124.527162978
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,460.0,4.0,1.0,150.0,352.0,0.0,23.0,202.0,0.0,2.0,240.0,59.0,1.0,15.0,1.0,170.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6842105263
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,1327.0,4.0,4.0,11.0,96.0,5.0,20.0,548.0,174.0,1.0,800.0,20.0,1.0,2.0,2.0,730.0,2.0,44.0,2.0,0.0,0.0,0.0,0.0,1.0,52.0,4.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,197.019475021
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,714.0,6.0,3.0,57.0,228.0,0.0,21.0,135.0,0.0,1.0,567.0,8.0,1.0,0.0,4.0,435.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,131.85840708
race:Terran,status:Loss,http://kr.battle.net/sc2/en/profile/2341700/1/,497.0,4.0,1.0,111.0,311.0,0.0,30.0,217.0,0.0,3.0,205.0,52.0,1.0,14.0,1.0,183.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0338164251
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,1354.0,4.0,4.0,35.0,79.0,22.0,30.0,648.0,314.0,1.0,791.0,13.0,1.0,13.0,1.0,764.0,1.0,54.0,2.0,0.0,1.0,0.0,0.0,1.0,71.0,3.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,195.857805255
race:Terran,status:Win,http://kr.battle.net/sc2/en/profile/2341700/1/,632.0,3.0,4.0,231.0,282.0,19.0,47.0,236.0,42.0,2.0,222.0,33.0,2.0,11.0,1.0,172.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7331378299
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,1681.0,2.0,3.0,226.0,1.0,33.0,33.0,724.0,449.0,2.0,693.0,17.0,3.0,9.0,1.0,663.0,3.0,37.0,35.0,8.0,4.0,0.0,0.0,1.0,129.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,210.395894428
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2333068/1/,616.0,0.0,1.0,4.0,0.0,1.0,22.0,430.0,150.0,1.0,374.0,14.0,0.0,0.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,199.144736842
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,628.0,0.0,1.0,3.0,0.0,8.0,12.0,442.0,219.0,1.0,324.0,11.0,0.0,0.0,1.0,325.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,193.511811024
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2333068/1/,1508.0,0.0,1.0,1.0,0.0,5.0,33.0,677.0,220.0,1.0,748.0,19.0,1.0,3.0,1.0,717.0,2.0,67.0,16.0,0.0,0.0,0.0,0.0,1.0,99.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,203.444354184
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,903.0,5.0,2.0,15.0,223.0,2.0,15.0,151.0,0.0,1.0,653.0,10.0,1.0,0.0,6.0,546.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,159.12244898
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,822.0,5.0,35.0,514.0,301.0,88.0,36.0,418.0,1057.0,5.0,157.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,113.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5251798561
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,561.0,6.0,22.0,157.0,228.0,56.0,35.0,204.0,581.0,2.0,86.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,88.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.798206278
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,487.0,4.0,1.0,1143.0,166.0,14.0,29.0,496.0,575.0,6.0,92.0,14.0,5.0,10.0,3.0,59.0,2.0,18.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.68627451
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,622.0,4.0,1.0,1726.0,210.0,20.0,62.0,1085.0,657.0,7.0,165.0,16.0,4.0,21.0,3.0,79.0,2.0,13.0,0.0,0.0,0.0,4.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.778067885
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,754.0,8.0,1.0,2182.0,200.0,26.0,59.0,1400.0,786.0,7.0,186.0,22.0,5.0,17.0,3.0,65.0,4.0,20.0,0.0,0.0,2.0,6.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.021226415
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,546.0,8.0,1.0,1371.0,179.0,9.0,31.0,886.0,409.0,8.0,111.0,8.0,6.0,12.0,2.0,32.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.99734748
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,453.0,7.0,12.0,22.0,171.0,56.0,32.0,183.0,338.0,4.0,51.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7632508834
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,396.0,5.0,9.0,41.0,144.0,59.0,27.0,218.0,422.0,2.0,42.0,63.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,3.0,49.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4686346863
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,489.0,9.0,1.0,1212.0,180.0,18.0,41.0,788.0,401.0,5.0,112.0,14.0,5.0,15.0,3.0,59.0,2.0,7.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.146814404
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2344230/1/,243.0,2.0,3.0,457.0,13.0,5.0,15.0,227.0,74.0,2.0,33.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.542168675
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2344230/1/,503.0,8.0,1.0,1183.0,46.0,11.0,35.0,790.0,250.0,3.0,126.0,5.0,4.0,14.0,3.0,13.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.014623172
